项目专员（偏数据分析）,上海贝塔斯曼商业服务有限公司,上海-徐汇区,7-8千/月,07-22,"['上海-徐汇区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['外资（欧美）'],['1000-5000人'],"['多元化业务集团公司,外包服务']","['岗位职责：', '1.\xa0根据客户需求，提供CRM，活动类等相关数据报表和报告', '2.\xa0数据分析，有一定的数据分析能力，对数据有一定的敏感性和分析能力', '3.\xa0项目管理，参与CRM部门相关项目的搭建和管理，有一定的项目管理能力', '4.项目沟通和统筹能力，能与客户，供应商进行有效的沟通来进行项目推动', '\xa0岗位要求：', '1.本科学历，有数据分析经验；', '2.1年以上工作经验，接受优秀应届生；', '3.熟练使用Excel、PPT等工具；', '4.英语读写良好；', '5.良好的沟通协调能力，具备项目管理经验优先考虑。']"
数据标注主管,字节跳动,上海,1.5-3万/月,07-22,"['上海\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['10000人以上'],"['互联网/电子商务,计算机软件']",[]
22989-数据库产品经理（成都/深圳/北京）,深圳市腾讯计算机系统有限公司,成都,,07-22,"['成都\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['10000人以上'],['互联网/电子商务'],[]
供应链数据运营,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,南京-江宁区,0.8-1.6万/月,07-22,"['南京-江宁区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa007-22发布']",['外资（欧美）'],['5000-10000人'],"['通信/电信/网络设备,电子技术/半导体/集成电路']","['\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0']"
WMPS-数据分析师,美团点评,北京-朝阳区,1.5-2万/月,07-22,"['北京-朝阳区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['10000人以上'],"['计算机软件,互联网/电子商务']",[]
Arla-财务主管-数据方向,雅士利国际集团有限公司,上海-浦东新区,1-1.4万/月,07-22,"['上海-浦东新区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['上市公司'],['10000人以上'],['快速消费品(食品、饮料、化妆品)'],"['负责雅士利国际集团，进口品牌奶粉事业部全盘业务，包含线上及线下财务报表制作。', '1、月度各类财务报表和滚动预测。', '2、协助上级领导完成周期性预算工作。', '3、根据集团要求按时完成数据制作及填写工作。\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0\xa0', '4、根据财务报表结合业务特点给出数据分析结果。', '5、与销售人员保持良好沟通，从财务角度解决业务需求。', '职位要求：', '1、本科以上学历，理科生考入会计学相关专业。', '2、了解会计准则，熟知财务、税务等法律法规。', '3、3至4年快消行业或会计事务所工作经验。', '4、精通Excel，熟悉SAP系统使用，对数据有较强的感知力。', '5、具备良好的沟通能力和团队协作能力，为人诚实、工作严谨，原则性强。具备良好的敬业精神和优良的职业道德，抗压能力强，适应能力及学习能力较强。能够勇于面对挑战，并能适应快节奏的工作环境。']"
数据分析师,捷孚凯市场咨询（中国）有限公司,上海-静安区,1.5-2万/月,07-22,"['上海-静安区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['外资（欧美）'],['500-1000人'],['专业服务(咨询、人力资源、财会)'],"['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']"
阿里集团-CRO-数据分析专家-杭州,阿里巴巴集团,杭州,,07-22,"['杭州\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa007-22发布']",['上市公司'],['10000人以上'],['互联网/电子商务'],[]
专业服务助理(投标/行业研究和数据分析支持),毕马威中国 KPMG China,南京,4.5-5千/月,07-22,"['南京\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa007-22发布']",['外资（欧美）'],['150-500人'],['专业服务(咨询、人力资源、财会)'],"['\xa0\xa0', '\xa0\xa0', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0']"
资深数据分析师,饿了么,肇庆,1-2万/月,07-22,"['肇庆\xa0\xa0', '\xa0\xa0无需经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['10000人以上'],['互联网/电子商务'],"['1、负责部门日常数据报表的制定、维护、优化；', '2、支持运营相关业务数据分析和调取；', '3、对各品牌的营销活动效果深度分析总结；', '4、配合业务发展，挖掘数据背后的市场方向、规律、短板、为业务发展提供决策依据；', '5、通过数据分析，对业务运营KPI提升提出可落地的方案，并协助业务提升指标；', '6、满足部门对于运营数据的需求及其他领导安排的任务。', '任职要求：', '1、本科及以上学历，计算机相关、数学/统计学、信息技术，社会科学等与数理统计、应用统计、计算编程相关的专业优先；', '2、数据分析1年以上工作经历，有互联网相关经验优先；', '3、熟练操作excel、PPT等工具，具备SQL、hive等工具知识的优先；', '4、优秀的商业分析思维，善于思辨，敢于决断；能够针对某项业务，完成分析课题；', '5、优秀的沟通能力，强大的自驱力和抗压力。']"
