,用户名,弹幕,会员等级,发布时间,弹幕点赞数,弹幕id
0,,第一,4,0,11,6755690901339831981
0,WikL,哈哈哈哈哈哈哈哈就知道这个点来没错,1,0,50,6755690946283159625
0,,爱了,0,0,23,6755691096152670063
0,,来了来了,2,0,10,6755691289615300209
0,,第一第一一,2,2,14,6755691402157559285
0,,没错第一条就是我,0,0,29,6755691563050366868
0,,第一分钟就是我,0,0,13,6755691612573473827
0,,来啦,0,2,5,6755691686128717609
0,,第一☝️,2,0,5,6755691711767441941
0,,我在兰州,5,0,5,6755692083311818843
0,,就喜欢不准时,0,2,18,6755694285338211322
0,,来了,2,4,3,6755697119694624427
0,吃醋大王,来啦来啦,4,3,8,6755698283335840399
0,, 鹿鹿来晚了,0,2,10,6755699002591868494
0,,？,6,1,3,6755702384153362126
0,,不,0,4,5,6755702928616655458
0,,只为了鹿晗而来,0,2,10,6755704311164415577
0,,解决了,0,4,13,6755704340196376386
0,木樨子,来看鹿哥,0,4,14,6755706993623147781
0,一贫如洗小道长,哈,0,1,3,6755707064115458446
0,,.,0,4,2,6755705978601581128
0,,只来看鹿晗,0,3,18,6755704454861278301
0,,66,0,4,4,6755708213719661385
0,,哈哈哈,0,1,7,6755717132097977606
0,,。,0,2,0,6755726778305098758
0,,鹿爷!,0,2,3,6755733329263699592
0,,，,0,4,0,6755734500975773048
0,四海为家,哈哈,0,4,1,6755731893669526140
0,,的,0,3,3,6755731895260531995
0,,哦,0,3,3,6755748921572043459
0,Dayana , 留下我花钱的痕迹,0,2,3,6755753836347422776
0,,666,0,1,2,6755754059173654985
0,清风徐来丶,11,0,1,1,6755775368234825074
0,, 、第一。,0,3,5,6755777529282837898
0,,来了。,0,3,6,6755795311085952191
0,,1,0,3,0,6755801781793967579
0,,Q,0,3,1,6755831546448985649
0,,嗯,0,1,0,6755839093366050799
0,,每周五的快乐,5,1,12,6755844098096642142
0,,好看,0,1,5,6755876331256750014
0,,哈哈党 : 第一,3,7,25,6755690189843266465
0,,哈哈党 : 来了老弟,6,6,36,6755690532078866048
0,,第一第一！！？？？,0,6,30,6755691213808409163
0,,来看鹿,1,8,40,6755691401989093092
0,Fetter ॑॑,第一?,0,7,9,6755692519775304640
0,。,鹿哥未来可期  干饭人🦌🦌🦌🦌,1,5,88,6755692892245915517
0,,有点早啊,0,6,8,6755692951613146324
0,,来了来了，就知道会提前,0,8,27,6755693022769513788
0,,不守时,0,6,4,6755693117882693800
0,, 666,0,6,2,6755693484322619377
0,苗,张颜齐,4,6,10,6755693767001928031
0,NI,来了来了   就喜欢你的不准时,0,5,46,6755693861839319188
0,🐏🐏🐏🐏, 第一[打工人22][打工人22],0,8,15,6755693760156823891
0,,欣欣子！！！,0,5,26,6755694180682932724
0,,虞书欣我来了,6,9,61,6755694337553085176
0,,虞书欣妈妈来啦,0,7,30,6755694210466650132
0,,魔鬼,0,7,3,6755694568991562215
0,,哈哈哈哈哈,0,6,7,6755695004938155641
0,, 来了来了,0,5,16,6755695011598710400
0,, 真不错,0,7,9,6755695035930886954
0,低调,期待王晨克！,0,9,19,6755695445637871801
0,,小鱼儿，来看你啦,0,8,12,6755694846183748998
0,,来看鹿晗了,0,7,4,6755695639835166257
0,卑劣,冲冲冲,0,8,6,6755695788324746642
0,, 来喽来偶,0,6,0,6755696051089866048
0,, 来了,0,7,1,6755696595465390951
0,,虞书欣，我来啦！！！！！！！,0,9,28,6755697576651197293
0,阿古阿古,鹿晗,0,5,2,6755698292336816802
0,ikw.,来啦来啦！！！,0,8,6,6755698959428631284
0,,在,0,8,1,6755699386476594274
0,chenying,王晨艺,0,8,1,6755700138874960938
0,,来啦来啦，嗨起来姐妹们,0,5,13,6755700551980692448
0,💋,就知道会这样,0,9,9,6755701042571654810
0,, 张颜齐！俺来也,0,7,3,6755703940663408316
0,,啊啊啊啊来看虞书欣啦,0,9,17,6755704585400601953
0,,大头大头，下雨不愁,0,5,9,6755706321783737017
0,,额,0,5,2,6755708322981280904
0,, 来了来了,0,9,1,6755713074620559904
0,,水,0,9,1,6755744387269069692
0,,第一,4,24,1,6755690282425491589
0,,来了来了,1,20,7,6755691732621866675
0,蜡笔木有小新_,喜欢不准时,1,22,26,6755691972461577335
0,,喜欢,0,20,2,6755692814933674030
0,, 第一来啦来啦,0,20,24,6755692872848576939
0,, ||ヽ(*￣▽￣*)ノミ|Ю,0,24,37,6755692898952607619
0,,来了来了，哈哈哈哈哈,0,20,16,6755693065655565465
0,,鹿哥我来了,0,22,19,6755693333948070308
0,,第一第一,0,22,7,6755693405939449405
0,悟,第一个,0,24,6,6755695168587331699
0,,来了,0,22,0,6755695306202084145
0,,欣欣我来啦,4,21,26,6755695346527479752
0,,终于更新了 来看虞书欣啦,0,20,19,6755695816502426299
0,,张颜齐哈哈哈哈哈,1,23,25,6755695904520914866
0,山海°,哈哈哈哈哈哈,0,23,9,6755695798870591247
0,Suger,来看虞书欣啦！,0,22,3,6755696048371595012
0,盛夏之岚,虞书欣我来了,0,22,3,6755696130311863392
0,甜馨美妆, 晨艺我来了,0,23,7,6755694296655403121
0,,鹿晗,0,21,3,6755696595201102825
0,, 来啦来啦,0,21,10,6755696798011161354
0,, 来咯来咯,0,22,2,6755696706144638074
0,,哈哈哈哈,0,22,1,6755696655674577970
0,,哈哈哈哈哈,0,23,1,6755697732184378409
0,,听说有虞书欣 来看看！,0,23,7,6755697871821448428
0,ythao,虞书欣我来啦,0,20,9,6755698065596936599
0,, 来了来了,0,23,0,6755698200617141261
0,, 我是第一,0,21,3,6755698325161801965
0,烟火的季节,来了特别期待这一期,0,20,6,6755698570549195789
0,,真的是不准时呀,0,20,0,6755698852368676240
0,, 中午就更新了,0,24,3,6755700048341250286
0,, 啦啦啦啦啦,0,24,0,6755700923180807854
0,王君一爱吃糖, 第一第一,0,24,2,6755703012721105215
0,,齐齐妈妈来啦,1,24,2,6755704756002553031
0,,刚追完之前的就更新，太幸福了吧,0,24,5,6755705421865432856
0,微醺巴黎,哈哈哈哈哈！老了老弟！,0,21,3,6755707573677603641
0,, 来了来了 ,0,23,0,6755714288632477957
0,,加油，篮子们,0,23,2,6755711968835258156
0,,下饭好剧！碗里来！,0,21,4,6755762647847081679
0,,就喜欢不准时,0,21,2,6755786850766616149
0,大叔., 來了來了 來看張顏齊,0,21,1,6755801620563556363
0,愿你冬天一直有暖阳。,我指定是第一,6,12,24,6755690097133727656
0,,哈哈哈哈哈哈,1,14,39,6755690453451436802
0,,来了,3,11,2,6755690481818521164
0,,第一,5,10,3,6755690880751346490
0,,第一？？,0,10,18,6755690963521741701
0,,哈哈哈哈哈哈来啦,0,11,29,6755691092826928091
0,,就喜欢你的bu zhun shi,3,10,12,6755691173009454586
0,,第一☝️,0,11,7,6755691408230217454
0,,就喜欢不准时的,0,10,3,6755691571221873364
0,蜡笔木有小新_,来了来了,0,12,3,6755691862943797234
0,,第一 第一,0,14,12,6755692121174507816
0,,我是第一个吧,0,14,6,6755692188706996608
0,,年轻人不讲武德，这么早更新，还好我来了，哈哈,0,11,75,6755692599492229768
0,,第一第一第一,0,14,1,6755692845672363857
0,,来了来了好早好早 等一个礼拜了！！,0,12,26,6755692475291511356
0,,怎么不准时呢[笑哭23],0,12,13,6755692948962346193
0,,不准时,6,13,21,6755692229311363715
0,颜七思睿, 张颜齐我来啦,0,14,7,6755693207473372483
0,, 来了,0,12,0,6755693292006347703
0,,来看虞书欣了,0,14,3,6755693290654464363
0,,虞书欣,0,10,6,6755693111394105499
0,,来了，他真的来了,0,14,2,6755693823353096439
0,,来了特别期待这一期,0,11,22,6755693790435487794
0,"Cr1stiNe,💋",欣欣,0,10,3,6755693898933402751
0,,有点早啊,0,12,3,6755693892286748296
0,,yeah，不准时爱了,0,10,12,6755693243896708471
0,,我来啦，第一不,0,10,12,6755694348165697418
0,自由눈_눈死亡, 第一,0,12,1,6755694520396391353
0,,勉勉我来啦.,0,12,3,6755694218652614128
0,,第一吗,0,14,0,6755694526599774333
0,,来啦,4,11,2,6755694643569505426
0,,哈哈哈哈,0,11,1,6755695220329268240
0,aQIU,来啦啊啊啊啊,0,11,7,6755695356350547132
0,,朋友们，来了,0,13,13,6755693717187138991
0,寻觅, 来了来了来了,0,13,7,6755695819531732778
0,, 来了来了,0,13,2,6755699473918737853
0,,来啦来啦,0,13,4,6755702752623659061
0,怎么都吃不饱,  来了来了了,0,13,2,6755703936712736025
0,,第一第一！！？？？,0,13,0,6755704626122786842
0,,就知道会这样,0,13,3,6755708585654104942
0,,哈哈党 : 不准时，爱了,2,19,32,6755690138095307987
0,,齐齐妈妈来啦,0,19,10,6755690415531693819
0,,第一个第一个,5,15,31,6755690633945615044
0,,嗷嗷嗷嗷嗷嗷嗷嗷,0,19,4,6755690669090000673
0,雅岚,下饭好剧！碗里来！,2,16,55,6755690949054575416
0,,第一第一,2,17,26,6755691107579271650
0,,哈哈党 : 啦啦啦啦啦,2,18,24,6755691655116033801
0,,就喜欢不准时,0,16,14,6755691983706463680
0,,鹿晗鹿晗鹿晗鹿晗鹿晗鹿晗鹿晗,0,17,37,6755692739071297501
0,蓝色气球柠檬夏﹌　　　　, 王晨艺我来看你了,0,15,19,6755692895753717891
0,,哈哈哈哈哈,0,15,4,6755692951919642827
0,汪志雨, 下饭了家人们,0,18,19,6755692984945585238
0,,真不守时,0,15,5,6755693087055923557
0,想暴富的田小田, 呦呦呦 提前了~,0,18,16,6755693225337885537
0,,鹿晗我来了,0,18,5,6755693326005375960
0,,来了，虞书欣,0,18,5,6755693344945535415
0,,来咯,0,19,2,6755693166571531554
0,, 来了来了鹿哥,0,18,2,6755693405084518153
0,, v6在此,0,16,4,6755693487263821466
0,忙碌溜号中, 鹿晗我爱你,0,19,6,6755693737130082282
0,,果然提前了,0,16,4,6755693615227842368
0,,鹿哥未来可期  干饭人🦌🦌🦌🦌,0,15,4,6755694728273474806
0,, 来看王晨艺,0,16,4,6755695021509505534
0,,第一！！！,0,15,0,6755695318009411878
0,心, 第一第一,0,15,0,6755694951615623592
0,, 来啦来啦来啦,0,19,5,6755695623493138836
0,,鹿晗,0,18,0,6755696178411796413
0,, 五分钟了,0,19,0,6755696388190963070
0,,  我来啦哈哈哈哈！！！！我们学校放假啦,0,16,2,6755696799685740437
0,蛋。, 來了來了 來看張顏齊,0,17,12,6755696734993061035
0,,来了来了，看鹿子晗,0,18,2,6755696609603025420
0,,虞书欣！,0,16,1,6755697913097601648
0,,好好好,0,15,1,6755698280992581389
0,峰,嘻嘻,0,17,1,6755705611386035435
0,,我来啦,0,17,0,6755704390003748959
0,, 666,0,17,1,6755717858271368521
0,,不科学啊，咋没人抗议呢？,0,19,4,6756031571486246492
0,,爷是第一个,3,29,15,6755690608683634402
0,,哈哈党 : 777,4,26,20,6755690767407674443
0,哎呦喂,真好,4,25,2,6755691876331321585
0,周诗汝🥇,爱了爱了 这会儿就有了,5,28,36,6755692309033459514
0,,赫赫我来了,0,28,11,6755692951570513313
0,,刚刚微博过来，恭喜鹿哥官宣代言,0,29,19,6755693456683158296
0,, 哈哈哈哈哈哈,0,29,5,6755693584466824130
0,,来看欣欣,2,27,18,6755693883540307053
0,安然自若！,提前了，还好我来早了,0,29,8,6755694010960120263
0,京师律师, 晨艺我来啦,0,26,8,6755693244085468905
0,,欣欣宝贝,2,27,6,6755694611404407029
0,, 来看虞书欣,0,28,9,6755695125771514476
0,,就喜欢鹅的不准时,0,26,6,6755695183725268817
0,,鹿晗来了,0,28,15,6755695389447800040
0,榨汁机,虞书欣,0,27,2,6755695483667626219
0,,哈哈党 : 哦哟,3,40,9,6755690748390683216
0,,就喜欢不准时,1,41,4,6755691580448339883
0,,鹿子我来了,0,41,6,6755693538542025371
0,,哈哈哈哈哈哈,4,44,6,6755693555601577203
0,,来啦,0,41,1,6755694027188194817
0,,鹿晗呐,0,40,2,6755694471875687672
0,,77我来了,1,43,0,6755694574778725411
0,Fuck.,第一 ！！！！！！！！！！！赞！,0,40,5,6755695412449320437
0,π,哈哈哈哈哈,0,43,1,6755695960221264646
0,,这期有虞书欣 那我来啦,0,40,3,6755696071361892684
0,LUCKY ONE,欣欣子我来啦,4,42,5,6755696471313679840
0,ikakashi,期待张颜齐！,0,42,0,6755697304504082909
0,,啊，鹿子，来了来了,0,40,1,6755697375580457602
0,,欣欣宝贝你来啦！,0,43,7,6755697632275363147
0,,来看欣欣,1,44,2,6755700334694773398
0,🌿, 晨艺我来啦,0,40,0,6755700741441615258
0,゛       Arxher        .,我是第一个,0,40,0,6755704545339439932
0,,大兰州我来了,0,41,2,6755708372952218853
0,, 欣欣我来了,0,41,1,6755716386555883845
0,,哈哈哈,0,44,2,6755717611506563381
0,微泶℡,兰州  我家,0,40,2,6755719911868397268
0,耐丷,虞书欣 我来啦啊啊啊啊,0,41,1,6755721114972299867
0,家有小可爱,来了来了,0,42,2,6755711933187860544
0,, 来看晨艺,0,42,4,6755725472131726599
0,,，,0,41,0,6755729914513040345
0,,[打工人22]哈哈哈哈哈,0,41,1,6755731970418218099
0,a希,邓超俪娘娘[笑哭23],0,43,5,6755741657300760248
0,「手心,咋又来个哈哈,0,44,1,6755744638260415709
0,, 虞书欣 我来了,0,42,0,6755746344197097020
